1994;1;Њне;џ;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;џ;SPRO sg 1p - loc
1995;2;нужно;Ќ“†ЌЋ;V ;категориЯ состоЯниЯ;;о;н;ж;у;н;;ADV;Ќ“†ЌЋ;ADV -
1996;3;о;Ћ;PR;;;о;;;;;;PR;Ћ;PR
1997;4;чЮм-то;—’Ћ-’Ћ;S n - loc sg;;;о;т;;м;Ю;ч;S;—’Ћ-’Ћ;S n - loc sg
1998;5;поговорить;ЏЋѓЋ‚Ћђ€’њ;V pf intr inf ;;;ь;т;и;р;о;в;V;ЏЋѓЋ‚Ћђ€’њ;V pf - - inf - -
1999;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2000;7;что-то;—’Ћ-’Ћ;S n - acc sg;;;о;т;;о;т;ч;S;—’Ћ-’Ћ;S n - acc sg
2001;8;рассказать;ђЂ‘‘ЉЂ‡Ђ’њ;V pf - - inf tran;;;ь;т;а;з;а;к;V;ђЂ‘‘ЉЂ‡Ђ’њ;V pf - - inf - -
2002;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2003;10;помахать;ЏЋЊЂ•Ђ’њ;V pf - - inf tran;;;ь;т;а;х;а;м;V;ЏЋЊЂ•Ђ’њ;V pf - - inf - -
2004;11;руками;ђ“ЉЂ;S f inan ins pl;;;и;м;а;к;у;р;S;ђ“ЉЂ;S f inan ins pl
2005;12;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2006;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2007;14;одним;Ћ„€Ќ;A inan ins sg plen m -;;;м;и;н;д;о;;A;Ћ„€Ќ;A - ins sg plen m -
2008;15;словом;‘‹Ћ‚Ћ;S n inan ins sg 2р;;;м;о;в;о;л;с;S;‘‹Ћ‚Ћ;S n inan ins sg
2009;16;мне;џ;SPRO sg 1p - dat;;;е;н;м;;;;SPRO;џ;SPRO sg 1p - loc
2010;17;нужно;Ќ“†ЌЋ;V ;категориЯ состоЯниЯ;;о;н;ж;у;н;;ADV;Ќ“†ЌЋ;ADV -
2011;18;легко;‹…ѓЉЋ;ADV ;;;о;к;г;е;л;;ADV;‹…ѓЉЋ;ADV -
2012;19;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2013;20;непринуждЮнно;Ќ…Џђ€Ќ“†„…ЌЌ›‰;ADV;;;о;н;н;Ю;д;ж;A;Ќ…Џђ€Ќ“†„…ЌЌ›‰;A - - sg brev n -
2014;21;,;,;SENT;;;;;;;;;SENT;,;SENT
2015;;;;;;;;;;;;;;;
2016;1;продемонстрировать;ЏђЋ„…ЊЋЌ‘’ђ€ђЋ‚Ђ’њ;V pf -tran - inf - -;;;ь;т;а;в;о;р;V;ЏђЋ„…ЊЋЌ‘’ђ€ђЋ‚Ђ’њ;V pf - - inf - -
2017;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2018;3;как;ЉЂЉ;CONJ;;;к;а;к;;;;CONJ;ЉЂЉ;CONJ
2019;4;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2020;5;что-нибудь;—’Ћ-Ќ€Ѓ“„њ;S n - acc sg;;;ь;д;у;б;и;н;S;—’Ћ-Ќ€Ѓ“„њ;S n - acc sg
2021;6;рассказываю;ђЂ‘‘ЉЂ‡›‚Ђ’њ;V ipf praes sg indic tran 1p;;;ю;а;в;ы;з;а;V;ђЂ‘‘ЉЂ‡›‚Ђ’њ;V ipf praes sg indic - 1p
2022;7;,;,;SENT;;;;;;;;;SENT;,;SENT
2023;;;;;;;;;;;;;;;
2024;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2025;2;Ќо;ЌЋ;CONJ;;;о;н;;;;;CONJ;ЌЋ;CONJ
2026;3;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2027;4;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2028;5;люблю;‹ћЃ€’њ;V ipf praes sg indic tran 1p;;;ю;л;б;ю;л;;V;‹ћЃ€’њ;V ipf praes sg indic - 1p
2029;6;сниматьсЯ;‘Ќ€ЊЂ’њ‘џ;V ipf - - inf - -;;;Я;с;ь;т;а;м;V;‘Ќ€ЊЂ’њ‘џ;V ipf - - inf - -
2030;7;после;ЏЋ‘‹…;PR;;;е;л;с;о;п;;PR;ЏЋ‘‹…;PR
2031;8;одного;Ћ„€Ќ;A - gen sg plen m -;;;о;г;о;н;д;о;A;Ћ„€Ќ;A - gen sg plen m -
2032;9;неудачного;Ќ…“„Ђ—Ќ›‰;A - gen sg plen m -;;;о;г;о;н;ч;а;A;Ќ…“„Ђ—Ќ›‰;A - gen sg plen m -
2033;10;опыта;ЋЏ›’;S m inan gen sg;;;а;т;ы;п;о;;S;ЋЏ›’;S m inan gen sg
2034;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2035;12;когда;ЉЋѓ„Ђ;CONJ;;;а;д;г;о;к;;CONJ;ЉЋѓ„Ђ;CONJ
2036;13;у;“;PR;;;у;;;;;;PR;“;PR
2037;14;менЯ;џ;SPRO sg 1p - acc;;;Я;н;е;м;;;SPRO;џ;SPRO sg 1p - acc
2038;15;брали;ЃђЂ’њ;V ipf praet pl indic tran -;;;и;л;а;р;б;;V;ЃђЂ’њ;V ipf praet pl indic - -
2039;16;интервью;€Ќ’…ђ‚њћ;S n inan dat  ;;;ю;ь;в;р;е;т;S;€Ќ’…ђ‚њћ;S n inan nonflex nonflex
2040;17;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2041;18;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2042;19;увидел;“‚€„…’њ;V pf praet sg indic m tran;;;л;е;д;и;в;у;V;“‚€„…’њ;V pf praet sg indic m -
2043;20;результат;ђ…‡“‹њ’Ђ’;S m inan nom sg;;;т;а;т;ь;л;у;S;ђ…‡“‹њ’Ђ’;S m inan nom sg
2044;21;,;,;SENT;;;;;;;;;SENT;,;SENT
2045;;;;;;;;;;;;;;;
2046;1;Њне;џ;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;џ;SPRO sg 1p - loc
2047;2;это;ќ’Ћ;S n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg
2048;3;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2049;4;понравилось;ЏЋЌђЂ‚€’њ‘џ;V pf praet sg indic n -;;;ь;с;о;л;и;в;V;ЏЋЌђЂ‚€’њ‘џ;V pf praet sg indic n -
2050;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2051;6;теперь;’…Џ…ђњ;ADV -;;;ь;р;е;п;е;т;ADV;’…Џ…ђњ;ADV -
2052;7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2053;8;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
2054;9;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
2055;10;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX
2056;11;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2057;12;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
2058;13;";";";";SENT;;;;;;;;;SENT;";";SENT
2059;;;;;;;;;;;;;;;
2060;1;[;[;PUNC;;;;;;;;;PUNC;[;PUNC
2061;2;нрзб;Ќђ‡Ѓ;NONLEX;;;б;з;р;н;;;NONLEX;Ќђ‡Ѓ;NONLEX
2062;3;];];PUNC;;;;;;;;;PUNC;];PUNC
2063;4;&;&;NONLEX;;;;;;;;;PUNC;&;PUNC
2064;5;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
2065;6;";";";";SENT;;;;;;;;;SENT;";";SENT
2066;;;;;;;;;;;;;;;
2067;1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2068;2;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX
2069;3;&;&;NONLEX;;;;;;;;;PUNC;&;PUNC
2070;4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
2071;5;";";";";SENT;;;;;;;;;SENT;";";SENT
2072;;;;;;;;;;;;;;;
2073;1;стеснЯюсь;‘’…‘Ќџ’њ‘џ;V ipf praes sg indic - 1p;;;ь;с;ю;Я;н;с;V;‘’…‘Ќџ’њ‘џ;V ipf praes sg indic - 1p
2074;2;,;,;SENT;;;;;;;;;SENT;,;SENT
2075;;;;;;;;;;;;;;;
2076;1;‚от;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART
2077;2;такаЯ;’ЂЉЋ‰;A - nom sg plen f -;;;Я;а;к;а;т;;A;’ЂЉЋ‰;A - nom sg plen f -
2078;3;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART
2079;4;вечнаЯ;‚…—Ќ›‰;A - nom sg plen f -;;;Я;а;н;ч;е;в;A;‚…—Ќ›‰;A - nom sg plen f -
2080;5;молодость;ЊЋ‹Ћ„Ћ‘’њ;S f inan nom sg;;;ь;т;с;о;д;о;S;ЊЋ‹Ћ„Ћ‘’њ;S f inan nom sg
2081;6;,;,;SENT;;;;;;;;;SENT;,;SENT
2082;;;;;;;;;;;;;;;
2083;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2084;2;џ;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2085;3;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2086;4;знаю;‡ЌЂ’њ;V ipf praes sg indic intr 1p;;;ю;а;н;з;;;V;‡ЌЂ’њ;V ipf praes sg indic - 1p
2087;5;о;Ћ;PR;;;о;;;;;;PR;Ћ;PR
2088;6;чЮм;—’Ћ;S n - loc sg;;;м;Ю;ч;;;;S;—’Ћ;S n - loc sg
2089;7;рассказывать;ђЂ‘‘ЉЂ‡›‚Ђ’њ;V ipf tran - inf - -;;;ь;т;а;в;ы;з;V;ђЂ‘‘ЉЂ‡›‚Ђ’њ;V ipf - - inf - -
2090;8;,;,;SENT;;;;;;;;;SENT;,;SENT
2091;;;;;;;;;;;;;;;
2092;1;ѓоворЯщий1;ѓЋ‚Ћђџ™€‰1;NONLEX;;;;й;и;щ;Я;р;NONLEX;ѓЋ‚Ћђџ™€‰1;NONLEX
2093;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2094;3;ђасскажи;ђЂ‘‘ЉЂ‡Ђ’њ;V pf tran sg imper - 2p;;;и;ж;а;к;с;с;V;ђЂ‘‘ЉЂ‡Ђ’њ;V pf - sg imper - 2p
2095;4;про;ЏђЋ;PR;;;о;р;п;;;;PR;ЏђЋ;PR
2096;5;свои;‘‚Ћ‰;A - acc pl plen - inan;;;и;о;в;с;;;A;‘‚Ћ‰;A - acc pl plen - inan
2097;6;путешествиЯ;Џ“’……‘’‚€…;S n inan acc pl;;;Я;и;в;т;с;е;S;Џ“’……‘’‚€…;S n inan acc pl
2098;7;,;,;SENT;;;;;;;;;SENT;,;SENT
2099;;;;;;;;;;;;;;;
2100;1;ѓоворЯщий2;ѓЋ‚Ћђџ™€‰2;NONLEX;;;;й;и;щ;Я;р;NONLEX;ѓЋ‚Ћђџ™€‰2;NONLEX
2101;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2102;3;Џро;ЏђЋ;PR;;;о;р;п;;;;PR;ЏђЋ;PR
2103;4;путешествиЯ;Џ“’……‘’‚€…;S n inan acc pl;;;Я;и;в;т;с;е;S;Џ“’……‘’‚€…;S n inan gen sg
2104;5;Я;џ;SPRO sg 1p - nom;;;Я;;;;;;SPRO;џ;SPRO sg 1p - nom
2105;6;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART
2106;7;хочу;•Ћ’…’њ;V ipf praes sg indic - 1p;;;у;ч;о;х;;;V;•Ћ’…’њ;V ipf praes sg indic - 1p
2107;8;рассказывать;ђЂ‘‘ЉЂ‡›‚Ђ’њ;V ipf tran - inf - -;;;ь;т;а;в;ы;з;V;ђЂ‘‘ЉЂ‡›‚Ђ’њ;V ipf - - inf - -
2108;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2109;10;у;“;PR;;;у;;;;;;PR;“;PR
2110;11;менЯ;џ;SPRO sg 1p - acc;;;Я;н;е;м;;;SPRO;џ;SPRO sg 1p - acc
2111;12;не то;не то;ZERO;раздельно;;о;т; ;е;н;;ZERO;не то;ZERO
2112;13;настроение;ЌЂ‘’ђЋ…Ќ€…;S n inan nom sg;;;е;и;н;е;о;р;S;ЌЂ‘’ђЋ…Ќ€…;S n inan nom sg
2113;14;,;,;SENT;;;;;;;;;SENT;,;SENT
2114;;;;;;;;;;;;;;;
2115;1;‘егоднЯ;‘…ѓЋ„Ќџ;ADV -;;;Я;н;д;о;г;е;ADV;‘…ѓЋ„Ќџ;ADV -
2116;2;был;Ѓ›’њ;V ipf praet sg indic m -;;;л;ы;б;;;;V;Ѓ›’њ;V ipf praet sg indic m -
2117;3;очередной;Ћ—…ђ…„ЌЋ‰;A - acc sg plen m inan;;;й;о;н;д;е;р;A;Ћ—…ђ…„ЌЋ‰;A - acc sg plen m inan
2118;4;тЯжЮлый;’џ†…‹›‰;A - acc sg plen m inan;;;й;ы;л;Ю;ж;Я;A;’џ†…‹›‰;A - acc sg plen m inan
2119;5;день;„…Ќњ;S m inan acc sg;;;ь;н;е;д;;;S;„…Ќњ;S m inan acc sg
2120;6;(;(;PUNC;слитно;;;;;;;;PUNC;(;PUNC
2121;7;зевок;‡…‚ЋЉ;S m inan nom sg;слитно;;к;о;в;е;з;;S;‡…‚ЋЉ;S m inan nom sg
2122;8;););PUNC;слитно;;;;;;;;PUNC;);PUNC
2123;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2124;10;потому что;потому что;ZERO;раздельно;;о;т;ч; ;у;м;ZERO;потому что;ZERO
2125;11;шесть;…‘’њ;NUM acc ;;;ь;т;с;е;ш;;NUM;…‘’њ;NUM acc - -
2126;12;перелЮтов;Џ…ђ…‹…’;S m inan gen pl;;;в;о;т;Ю;л;е;S;Џ…ђ…‹…’;S m inan gen pl
2127;13;за;‡Ђ;PR;;;а;з;;;;;PR;‡Ђ;PR
2128;14;неделю;Ќ…„…‹џ;S f inan acc sg;;;ю;л;е;д;е;н;S;Ќ…„…‹џ;S f inan acc sg
2129;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2130;16;бессоннаЯ;Ѓ…‘‘ЋЌЌ›‰;A - nom sg plen f -;;;Я;а;н;н;о;с;A;Ѓ…‘‘ЋЌЌ›‰;A - nom sg plen f -
2131;17;ночь;ЌЋ—њ;S f inan nom sg;;;ь;ч;о;н;;;S;ЌЋ—њ;S f inan nom sg
2132;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2133;19;как-то;ЉЂЉ-’Ћ;ADV -;;;о;т;;к;а;к;ADV;ЉЂЉ-’Ћ;ADV -
2134;20;очень;Ћ—…Ќњ;ADV ;;;ь;н;е;ч;о;;ADV;Ћ—…Ќњ;ADV -
2135;21;незаметно;Ќ…‡ЂЊ…’ЌЋ;ADV -;;;о;н;т;е;м;а;ADV;Ќ…‡ЂЊ…’ЌЋ;ADV -
2136;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2137;23;,;,;SENT;;;;;;;;;SENT;,;SENT
2138;;;;;;;;;;;;;;;
2139;1;но;ЌЋ;CONJ;;;о;н;;;;;CONJ;ЌЋ;CONJ
2140;2;превращаетсЯ;Џђ…‚ђЂ™Ђ’њ‘џ;V ipf praes sg indic intr 3p;;;Я;с;т;е;а;щ;V;Џђ…‚ђЂ™Ђ’њ‘џ;V ipf praes sg indic - 3p
2141;3;в;‚;PR;;;в;;;;;;PR;‚;PR
2142;4;этот;ќ’Ћ’;A - acc sg plen m inan;;;т;о;т;э;;;A;ќ’Ћ’;A - acc sg plen m inan
2143;5;последний;ЏЋ‘‹…„Ќ€‰;A - acc sg plen m inan;;;й;и;н;д;е;л;A;ЏЋ‘‹…„Ќ€‰;A - acc sg plen m inan
2144;6;гвоздь;ѓ‚Ћ‡„њ;S m inan acc sg;;;ь;д;з;о;в;г;S;ѓ‚Ћ‡„њ;S m inan acc sg
2145;7;в;‚;PR;;;в;;;;;;PR;‚;PR
2146;8;той;’Ћ’;A - loc sg plen f -;;;й;о;т;;;;A;’Ћ’;A - loc sg plen f -
2147;9;самой;‘ЂЊ›‰;A - loc sg plen f -;;;й;о;м;а;с;;A;‘ЂЊ›‰;A - loc sg plen f -
2148;10;крышке;Љђ›ЉЂ;S f inan loc sg;;;е;к;ш;ы;р;к;S;Љђ›ЉЂ;S f inan loc sg
2149;11;,;,;SENT;;;;;;;;;SENT;,;SENT
2150;;;;;;;;;;;;;;;
2151;1;Љороче;ЉЋђЋ—…;PARENTH;;;е;ч;о;р;о;к;ADV;ЉЋђЋ—…;ADV comp
2152;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2153;3;как-то;ЉЂЉ-’Ћ;ADV -;;;о;т;;к;а;к;ADV;ЉЂЉ-’Ћ;ADV -
2154;4;всЮ;‚‘…;SPRO pl acc;;;Ю;с;в;;;;ADV;‚‘…;ADV -
2155;5;тЯжелее;’џ†…‹Ћ;ADV comp;;;е;е;л;е;ж;Я;ADV;’џ†…‹Ћ;ADV comp
2156;6;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2157;7;тЯжелее;’џ†…‹Ћ;ADV comp;;;е;е;л;е;ж;Я;ADV;’џ†…‹Ћ;ADV comp
2158;8;,;,;SENT;;;;;;;;;SENT;,;SENT
2159;;;;;;;;;;;;;;;
2160;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2161;2;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART
2162;3;надо;ЌЂ„Ћ;V;категориЯ состоЯниЯ;;о;д;а;н;;;ADV;ЌЂ„Ћ;ADV -
2163;4;продолжать;ЏђЋ„Ћ‹†Ђ’њ;V ipf tran- inf - -;;;ь;т;а;ж;л;о;V;ЏђЋ„Ћ‹†Ђ’њ;V ipf - - inf - -
2164;5;жить;†€’њ;V ipf - - inf - -;;;ь;т;и;ж;;;V;†€’њ;V ipf - - inf - -
2165;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2166;7;&;&;NONLEX;;;;;;;;;PUNC;&;PUNC
2167;8;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
2168;9;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
2169;10;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX
2170;11;&;&;NONLEX;;;;;;;;;PUNC;&;PUNC
2171;12;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
2172;13;";";";";SENT;;;;;;;;;SENT;";";SENT
2173;;;;;;;;;;;;;;;
2174;1;[;[;PUNC;;;;;;;;;PUNC;[;PUNC
2175;2;нрзб;Ќђ‡Ѓ;NONLEX;;;б;з;р;н;;;NONLEX;Ќђ‡Ѓ;NONLEX
2176;3;];];PUNC;;;;;;;;;PUNC;];PUNC
2177;4;&;&;NONLEX;;;;;;;;;PUNC;&;PUNC
2178;5;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
2179;6;";";";";SENT;;;;;;;;;SENT;";";SENT
2180;;;;;;;;;;;;;;;
2181;1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2182;2;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX
2183;3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2184;4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
2185;5;";";";";SENT;;;;;;;;;SENT;";";SENT
2186;;;;;;;;;;;;;;;
2187;1;отдохнЮм;Ћ’„Ћ•Ќ“’њ;V pf intr pl imper - 1p;;;м;Ю;н;х;о;д;V;Ћ’„Ћ•Ќ“’њ;V pf - pl imper - 1p
2188;2;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR
2189;3;пенсии;Џ…Ќ‘€џ;S f inan loc sg;;;и;и;с;н;е;п;S;Џ…Ќ‘€џ;S f inan loc sg
2190;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2191;5;может;ЊЋ—њ;PARENTH;слитно ;;т;е;ж;о;м;;V;ЊЋ—њ;V ipf praes sg indic - 3p
2192;6;быть;Ѓ›’њ;PARENTH;слитно;;ь;т;ы;б;;;V;Ѓ›’њ;V ipf - - inf - -
2193;7;,;,;SENT;;;;;;;;;SENT;,;SENT
2194;;;;;;;;;;;;;;;
2195;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2196;2;Ќ;Ќ;NONLEX;слитно ;;н;;;;;;S;Ќ;S - - nonflex nonflex
2197;3;,;,;SENT;слитно;;;;;;;;SENT;,;SENT
2198;;;;;;;;;;;;;;;
2199;1;у;“;NONLEX;cлитно;;у;;;;;;PR;“;PR
2200;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2201;3;что;—’Ћ;S n inan acc sg;;;о;т;ч;;;;S;—’Ћ;S n inan acc sg
2202;4;ещЮ;…™…;ADV -;;;Ю;щ;е;;;;ADV;…™…;ADV -
2203;5;вам;‚›;SPRO pl 2p - dat;;;м;а;в;;;;SPRO;‚›;SPRO pl 2p - dat
2204;6;рассказать;ђЂ‘‘ЉЂ‡Ђ’њ;V pf tran - inf - -;;;ь;т;а;з;а;к;V;ђЂ‘‘ЉЂ‡Ђ’њ;V pf - - inf - -
2205;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2206;8;дорогие;„ЋђЋѓЋ‰;A - nom pl plen - -;;;е;и;г;о;р;о;A;„ЋђЋѓЋ‰;A - nom pl plen - -
2207;9;телезрители;’…‹…‡ђ€’…‹њ;S m anim nom pl;;;и;л;е;т;и;р;S;’…‹…‡ђ€’…‹њ;S m anim nom pl
2208;10;?;?;SENT;;;;;;;;;SENT;?;SENT
2209;;;;;;;;;;;;;;;
2210;1;ѓоворЯщий1;ѓЋ‚Ћђџ™€‰1;NONLEX;;;;й;и;щ;Я;р;NONLEX;ѓЋ‚Ћђџ™€‰1;NONLEX
2211;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2212;3;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART
2213;4;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2214;5;какие;ЉЂЉЋ‰;A - nom pl plen - -;;;е;и;к;а;к;;A;ЉЂЉЋ‰;A - nom pl plen - -
2215;6;у;“;PR;;;у;;;;;;PR;“;PR
